,entity,anime,fxp,twitter,okcupid
entity,0.9068713277549223,0.5954247763121483,0.6001779183552437,0.610800291899781,0.6236773563405502
anime,0.6800971030215797,0.6908833748424192,0.6140160126519719,0.6356928565636909,0.6341160670682077
fxp,0.5863776491186612,0.5292500691818098,0.6239992092517544,0.510419200518933,0.5515017092625752
twitter,0.6300310428907484,0.5804630569135688,0.567954927350005,0.6679639990270008,0.5723384339899072
okcupid,0.6936635981825408,0.5977677336039111,0.5870317287733517,0.6288007783994162,0.6731238808399804
ensemble,0.7048240007733869,0.6082649202103128,0.6100622714243352,0.6357739398362118,0.6318167019371642
stacked_fxp,0.695403718701999,,0.6526638331521202,0.5872050595962053,0.6183867817027511
stacked_twitter,0.7432785159564755,,0.5977068300879708,0.6902618989702425,0.6271976233110858
stacked_okcupid,,,0.6083819314025897,0.636260439471337,0.6807748657007977
stacked_anime,,,0.6133241079371355,0.6393416038271305,0.6398746540778122
ensemle_stacked,,,0.6217258080458634,0.6485040136219898,0.6548103532475988
